[2025-10/02/25-26 : 14:26:42] Luminosidade: 222.50 lux || Umidade: 78.22 || Temperatura: 23.27 C°
[2025-10/02/25-28 : 14:28:46] Luminosidade: 220.83 lux || Umidade: 78.22 || Temperatura: 23.34 C°
[2025-10/02/25-28 : 14:28:49] Luminosidade: 220.83 lux || Umidade: 78.22 || Temperatura: 23.36 C°
[2025-10/02/25-28 : 14:28:51] Luminosidade: 220.83 lux || Umidade: 78.22 || Temperatura: 23.34 C°
[2025-10/02/25-28 : 14:28:53] Luminosidade: 219.17 lux || Umidade: 78.22 || Temperatura: 23.32 C°
[2025-10/02/25-28 : 14:28:56] Luminosidade: 220.00 lux || Umidade: 78.22 || Temperatura: 23.28 C°
[2025-10/02/25-28 : 14:28:58] Luminosidade: 220.83 lux || Umidade: 78.22 || Temperatura: 23.29 C°
[2025-10/02/25-29 : 14:29:00] Luminosidade: 219.17 lux || Umidade: 78.22 || Temperatura: 23.29 C°
[2025-10/02/25-29 : 14:29:02] Luminosidade: 220.00 lux || Umidade: 78.22 || Temperatura: 23.31 C°
[2025-10/02/25-29 : 14:29:05] Luminosidade: 219.17 lux || Umidade: 78.22 || Temperatura: 23.30 C°
[2025-10/02/25-29 : 14:29:07] Luminosidade: 219.17 lux || Umidade: 78.22 || Temperatura: 23.32 C°
[2025-10/02/25-29 : 14:29:09] Luminosidade: 219.17 lux || Umidade: 78.22 || Temperatura: 23.29 C°
[2025-10/02/25-29 : 14:29:12] Luminosidade: 219.17 lux || Umidade: 78.22 || Temperatura: 23.28 C°
[2025-10/02/25-29 : 14:29:14] Luminosidade: 219.17 lux || Umidade: 78.22 || Temperatura: 23.24 C°
[2025-10/02/25-29 : 14:29:16] Luminosidade: 218.33 lux || Umidade: 78.22 || Temperatura: 23.23 C°
[2025-10/02/25-29 : 14:29:19] Luminosidade: 220.83 lux || Umidade: 78.22 || Temperatura: 23.21 C°
[2025-10/02/25-29 : 14:29:21] Luminosidade: 218.33 lux || Umidade: 78.22 || Temperatura: 23.19 C°
[2025-10/02/25-29 : 14:29:23] Luminosidade: 220.83 lux || Umidade: 78.22 || Temperatura: 23.17 C°
[2025-10/02/25-29 : 14:29:26] Luminosidade: 218.33 lux || Umidade: 78.22 || Temperatura: 23.15 C°
[2025-10/02/25-29 : 14:29:28] Luminosidade: 218.33 lux || Umidade: 78.22 || Temperatura: 23.13 C°
[2025-10/02/25-29 : 14:29:30] Luminosidade: 220.00 lux || Umidade: 78.22 || Temperatura: 23.15 C°
[2025-10/02/25-29 : 14:29:32] Luminosidade: 219.17 lux || Umidade: 78.22 || Temperatura: 23.17 C°
[2025-10/02/25-29 : 14:29:35] Luminosidade: 218.33 lux || Umidade: 78.22 || Temperatura: 23.17 C°
[2025-10/02/25-29 : 14:29:37] Luminosidade: 219.17 lux || Umidade: 78.22 || Temperatura: 23.19 C°
[2025-10/02/25-29 : 14:29:39] Luminosidade: 220.83 lux || Umidade: 78.22 || Temperatura: 23.21 C°
[2025-10/02/25-29 : 14:29:42] Luminosidade: 218.33 lux || Umidade: 78.22 || Temperatura: 23.17 C°
[2025-10/02/25-29 : 14:29:44] Luminosidade: 219.17 lux || Umidade: 78.22 || Temperatura: 23.16 C°
[2025-10/02/25-29 : 14:29:46] Luminosidade: 220.83 lux || Umidade: 78.22 || Temperatura: 23.16 C°
[2025-10/02/25-29 : 14:29:49] Luminosidade: 219.17 lux || Umidade: 78.22 || Temperatura: 23.18 C°
